Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,Temperature,Fluorescence
OREGON II,282,6/21/2008,03:16 PM,76,0,96,27.8898,W,27,53.6802,N,-96.464830,27.894670,0,36.7,5.79258,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/076C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/076C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/21/2008,05:59 PM,77,0,96,14.2200,W,28,1.1400,N,-96.237000,28.019000,0,36.2,5.77017,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/077C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/077C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/21/2008,08:25 PM,78,0,96,0.0402,W,27,59.9298,N,-96.000670,27.998830,0,45.6,5.98601,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/078C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/078C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/21/2008,11:25 PM,79,0,96,25.4700,W,28,5.1102,N,-96.424500,28.085170,0,25.5,5.55281,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/079C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/079C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/22/2008,02:42 AM,80,0,96,29.7000,W,28,1.5000,N,-96.495000,28.025000,0,25.8,5.67782,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/080C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/080C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/22/2008,05:58 AM,81,0,96,18.9702,W,27,40.0698,N,-96.316170,27.667830,0,73.6,4.63989,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/081C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/081C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/22/2008,09:43 AM,82,0,95,55.7298,W,27,44.7498,N,-95.928830,27.745830,0,76.7,4.57369,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/082C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/082C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/22/2008,11:37 AM,83,0,96,0.6498,W,27,43.3800,N,-96.010830,27.723000,0,87.5,4.68541,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/083C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/083C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/22/2008,03:50 PM,85,0,95,46.9800,W,27,48.2400,N,-95.783000,27.804000,0,63.9,4.28644,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/085C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/085C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/22/2008,08:11 PM,88,0,95,50.5398,W,27,55.0098,N,-95.842330,27.916830,0,54.8,5.26058,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/088C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/088C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,01:42 AM,92,0,95,50.4198,W,28,1.8000,N,-95.840330,28.030000,0,45.5,6.06290,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/092C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/092C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,07:34 AM,95,0,95,50.2098,W,28,9.2802,N,-95.836830,28.154670,0,35.5,4.96670,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/095C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/095C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,10:08 AM,96,0,95,56.5800,W,28,32.3802,N,-95.943000,28.539670,0,14.1,5.90399,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/096C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/096C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,11:27 AM,97,0,95,55.2798,W,28,30.7098,N,-95.921330,28.511830,0,16.4,3.03709,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/097C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/097C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,01:50 PM,98,0,95,46.8000,W,28,29.4402,N,-95.780000,28.490670,0,20.3,1.61080,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/098C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/098C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,04:27 PM,99,0,95,48.9198,W,28,37.6902,N,-95.815330,28.628170,0,12.0,4.94085,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/099C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/099C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,07:06 PM,100,0,95,30.1002,W,28,33.6498,N,-95.501670,28.560830,0,28.3,1.28089,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/100C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/100C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,08:39 PM,101,0,95,21.3102,W,28,33.4902,N,-95.355170,28.558170,0,27.5,1.44615,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/101C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/101C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,10:57 PM,103,0,95,14.9100,W,28,32.3898,N,-95.248500,28.539830,0,29.2,2.05401,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/103C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/103C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/23/2008,01:48 AM,104,0,95,35.2398,W,28,34.4598,N,-95.587330,28.574330,0,20.2,1.20949,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/104C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/104C01_proc_flS_xmiss_density.jpg
