year,zone,data_available,n_stations,mean_O2,median_O2,std_O2,min_O2,max_O2,n_hypoxic,percent_hypoxic,n_severe_hypoxic,percent_severe_hypoxic,estimated_hypoxic_area_km2,mean_depth,median_depth,lon_min,lon_max,lat_min,lat_max,lon_range,lat_range
2007,Zone2,True,46,2.410928695652174,2.3662549999999998,1.6046025507099655,0.00263,5.52421,19.0,41.30434782608695,12.0,26.08695652173913,11288.573584142454,0.0,0.0,-92.9665,-90.57867,28.0025,29.49833,2.387829999999994,1.495829999999998
2007,Zone3,True,16,4.792160625,4.55743,0.7891353355622321,3.26621,6.1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.91833,-88.002,28.97967,30.1945,0.9163300000000021,1.2148300000000027
2008,Zone1,True,129,3.9259782945736434,4.5201,1.7066669699076125,0.13773,6.56678,24.0,18.6046511627907,9.0,6.976744186046512,17201.007555019165,0.0,0.0,-97.33517,-93.01283,26.005,29.61483,4.322340000000011,3.6098300000000023
2008,Zone2,True,78,2.1002507692307693,1.6412499999999999,1.8336067562861187,0.05281,5.45677,42.0,53.84615384615385,33.0,42.30769230769231,24922.05483229926,0.0,0.0,-92.99367,-89.5105,28.002,29.547,3.483170000000001,1.5450000000000017
2008,Zone3,True,15,4.0758893333333335,4.13619,0.3888295904095973,3.21969,4.55788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.95633,-87.94767,29.01417,30.04717,1.008659999999992,1.0330000000000013
2009,Zone1,True,215,4.474909209302325,4.53496,1.2136809214333235,0.85745,6.95752,6.0,2.7906976744186047,1.0,0.46511627906976744,4838.4646328593235,0.0,0.0,-97.33517,-93.00033,26.0,29.58167,4.33484,3.581669999999999
2009,Zone2,True,116,3.582816034482758,3.864,1.4575625459816417,0.02274,5.50028,20.0,17.24137931034483,11.0,9.482758620689655,13645.52636112015,0.0,0.0,-92.99367,-89.56983,27.99133,29.4975,3.4238399999999984,1.5061699999999973
2009,Zone3,True,60,5.157393999999999,4.930070000000001,1.2454697371037788,2.00235,7.57878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.99783,-86.40267,29.00867,30.3335,2.595159999999993,1.3248300000000022
2010,Zone1,True,124,4.016561935483872,4.145245,1.2820276956210084,0.05765,6.18649,8.0,6.451612903225806,6.0,4.838709677419355,2904.137839265235,0.0,0.0,-97.048333,-93.032167,26.0285,29.6195,4.016165999999998,3.5909999999999975
2010,Zone2,True,28,3.061831785714285,3.47344,1.7883800654970026,0.10999,5.90938,10.0,35.714285714285715,6.0,21.428571428571427,3729.4589746491697,0.0,0.0,-93.0,-91.134667,28.365333,29.591667,1.8653330000000068,1.2263340000000014
2010,Zone3,False,0,,,,,,,,,,,,,,,,,,
2011,Zone1,True,132,4.025333333333334,4.5040949999999995,1.5283724373965213,0.17631,6.22037,19.0,14.393939393939394,6.0,4.545454545454546,19777.014065273084,39.38939393939394,33.150000000000006,-97.215,-93.0005,25.998833,29.589833,4.214500000000001,3.5909999999999975
2011,Zone2,True,55,3.415943090909091,3.83803,1.3627439010685494,0.02146,5.3258,9.0,16.363636363636363,6.0,10.909090909090908,12638.435279559439,46.99272727272728,39.0,-92.998667,-89.5525,28.0,29.499667,3.4461670000000026,1.4996669999999988
2011,Zone3,True,5,3.574888,3.81298,1.12806748562309,2.31701,4.77631,0.0,0.0,0.0,0.0,0.0,79.25999999999999,28.7,-88.737667,-87.488,29.249833,29.617,1.2496670000000023,0.367167000000002
2012,Zone1,True,142,5.368184014084507,5.574725,0.898850843858451,2.39156,6.63893,0.0,0.0,0.0,0.0,0.0,42.57112676056338,38.7,-97.3025,-93.000167,25.999333,29.576667,4.30233299999999,3.5773340000000005
2012,Zone2,True,42,5.470480952380953,5.771039999999999,0.9324540045618664,2.26578,6.55092,0.0,0.0,0.0,0.0,0.0,52.10952380952381,49.8,-92.995167,-89.998833,27.999167,29.574333,2.9963339999999903,1.5751659999999994
2012,Zone3,True,96,6.171388958333334,6.195525,0.3789715715833804,4.79494,6.86793,0.0,0.0,0.0,0.0,0.0,38.66770833333333,35.4,-88.0,-82.127,25.021667,30.313167,5.873000000000005,5.291499999999999
2013,Zone1,True,118,4.748974237288135,4.95676,1.10319300298182,0.79715,6.54708,3.0,2.5423728813559325,2.0,1.694915254237288,176.1064346160332,42.503389830508475,35.4,-97.2385,-93.003833,25.9915,29.541,4.234667000000002,3.549500000000002
2013,Zone2,True,52,4.021445,4.13818,1.4323469538618272,0.17473,6.31196,5.0,9.615384615384617,3.0,5.769230769230769,493.8342714000133,51.60576923076923,46.900000000000006,-92.996,-89.254333,28.042167,29.134333,3.7416669999999925,1.0921660000000024
2013,Zone3,True,59,5.1069181355932205,5.31704,0.9984854795371157,2.2065,7.19634,0.0,0.0,0.0,0.0,0.0,140.53050847457627,44.5,-88.998167,-81.991,24.998167,30.330167,7.0071669999999955,5.332000000000001
2014,Zone1,True,140,5.288264357142857,5.6077200000000005,1.1113109607917322,0.38099,6.8882,1.0,0.7142857142857143,1.0,0.7142857142857143,0.0,36.949285714285715,28.5,-97.2095,-93.005667,25.997333,29.611333,4.203833000000003,3.613999999999997
2014,Zone2,True,83,3.9915931325301197,4.21514,1.6506011662568898,0.0,6.28439,13.0,15.66265060240964,5.0,6.024096385542169,5773.0274941421585,44.60722891566265,34.0,-92.998667,-89.0135,27.9965,29.516,3.985167000000004,1.5194999999999972
2014,Zone3,True,40,5.8349995,6.01615,0.8861278768658156,3.78992,7.28812,0.0,0.0,0.0,0.0,0.0,34.4375,30.2,-88.994167,-81.878833,24.771,30.090833,7.115334000000004,5.319832999999999
2015,Zone1,True,140,4.277292142857142,4.728999999999999,1.5542871989578684,0.1126,6.5983,17.0,12.142857142857142,5.0,3.571428571428571,6916.148692976789,39.45285714285714,30.6,-97.239,-93.0005,26.004833,29.504,4.238500000000002,3.499167
