year,month,Central_precip_inches,Lower_precip_inches,Upper_precip_inches
2015,1,1.5559999999999998,3.7660000000000005,0.43
2015,2,1.422,3.624,0.41
2015,3,2.6420000000000003,6.403999999999999,0.5233333333333333
2015,4,3.936,6.853999999999999,1.7333333333333334
2015,5,5.014,6.266,5.223333333333334
2015,6,8.056000000000001,4.7379999999999995,4.096666666666667
2015,7,5.924,5.634,3.49
2015,8,3.464,3.308,3.75
2015,9,3.048,2.286,2.81
2015,10,1.988,4.89,2.0966666666666667
2015,11,4.662000000000001,7.604000000000001,2.3733333333333335
2015,12,5.758,7.156000000000001,2.436666666666667
2016,1,1.006,2.908,0.5499999999999999
2016,2,1.846,4.368,0.7133333333333333
2016,3,3.418,8.14,2.31
2016,4,3.554,4.9719999999999995,2.7066666666666666
2016,5,4.282,4.5280000000000005,2.7099999999999995
2016,6,3.3660000000000005,4.114,3.7633333333333336
2016,7,5.548,5.5600000000000005,4.670000000000001
2016,8,6.04,7.252,4.376666666666666
2016,9,4.262,2.1420000000000003,4.193333333333333
2016,10,2.444,0.866,2.1166666666666667
2016,11,1.8699999999999999,2.928,1.49
2016,12,1.9739999999999998,5.598,1.6033333333333335
2017,1,2.654,4.968,1.23
2017,2,1.138,2.46,0.8933333333333334
2017,3,3.7119999999999997,4.529999999999999,1.1533333333333333
2017,4,5.828,6.196,3.01
2017,5,5.6259999999999994,6.886,3.4233333333333333
2017,6,4.0,6.39,3.9633333333333334
2017,7,4.7,4.856,3.0733333333333337
2017,8,3.192,7.087999999999999,4.166666666666667
2017,9,1.61,2.698,2.703333333333333
2017,10,4.426,3.5060000000000002,2.933333333333333
2017,11,2.63,1.816,0.55
2017,12,1.026,4.5520000000000005,0.7333333333333334
2018,1,1.6640000000000001,3.216,0.69
2018,2,4.524,9.98,1.1566666666666665
2018,3,3.4379999999999997,5.35,1.2066666666666668
2018,4,2.8419999999999996,5.3740000000000006,1.7866666666666664
2018,5,4.0200000000000005,3.7600000000000002,3.4
2018,6,5.918,4.464,5.3133333333333335
2018,7,3.19,4.148000000000001,3.603333333333333
2018,8,5.456,4.9079999999999995,3.706666666666667
2018,9,5.644,6.976000000000001,4.13
2018,10,3.7159999999999997,3.928,3.5066666666666664
2018,11,3.406,5.988,1.24
2018,12,3.148,7.587999999999999,1.2833333333333334
2019,1,2.91,5.38,0.8566666666666666
2019,2,3.658,8.282,1.95
2019,3,3.6340000000000003,3.45,1.5633333333333332
2019,4,4.208,7.2299999999999995,3.0233333333333334
2019,5,7.5040000000000004,6.292,5.1866666666666665
2019,6,5.532,6.462000000000001,3.3633333333333333
2019,7,3.7939999999999996,6.072,5.133333333333334
2019,8,4.178,4.442,3.5
2019,9,3.6979999999999995,0.9800000000000001,5.683333333333334
2019,10,4.574,7.872,3.7399999999999998
2019,11,2.33,3.696,1.38
2019,12,2.32,4.604,1.8166666666666667
2020,1,3.668,6.7219999999999995,0.8766666666666666
2020,2,2.146,7.372,0.48
2020,3,4.394,6.465999999999999,1.6666666666666667
2020,4,3.332,6.234,1.4933333333333334
2020,5,5.256,5.304,2.92
2020,6,3.768,5.078,4.03
2020,7,4.41,5.316,4.59
2020,8,2.614,5.752,3.2933333333333334
2020,9,3.028,4.362,1.79
2020,10,3.436,5.072,1.9900000000000002
2020,11,2.722,2.5119999999999996,1.1833333333333333
2020,12,1.6780000000000002,4.502000000000001,0.6033333333333334
2021,1,2.29,3.768,0.57
2021,2,1.5699999999999998,4.46,0.52
2021,3,3.758,7.2219999999999995,1.5066666666666666
2021,4,2.946,5.394,2.11
2021,5,4.132,6.176,2.3333333333333335
2021,6,4.854,6.15,2.3000000000000003
2021,7,4.988,6.0,2.8733333333333335
2021,8,3.816,5.83,4.03
2021,9,2.856,4.526000000000001,2.3366666666666664
2021,10,5.532,3.9239999999999995,2.9
2021,11,1.174,1.674,0.8966666666666666
2021,12,2.682,3.7120000000000006,1.4933333333333332
2022,1,1.5059999999999998,4.206,0.43333333333333335
2022,2,3.154,5.486,0.5733333333333334
2022,3,3.6519999999999997,5.3100000000000005,1.5933333333333335
